uc_seq,city,gu_gun,name_festival,festival_type,festival_date,festival_place,hosting_method,tags,first_held_year
14,부산,동구,일신여학교 3.1운동 재현행사,문화예술,3.1.,일신여학교,대면,"교회사, 3.1절, 부산진일신여학교",-
15,부산,동구,차이나타운특구축제,문화예술,10월중,초량동 차이나타운 일대,혼합형,"부산여행, 부산축제, 가을축제, 부산차이나타운특구문화축제, 가볼만한축제, 거리공연, 이색체험, 나들이, 차이나타운, 부산역, 먹거리",2004년도
16,부산,영도구,영도다리축제,문화예술,10.13.~10.15.,아미르공원,대면,"영도다리축제, 영도, 영도다리, 부산축제, 부산나들이, 부산가볼만한곳, 부산데이트, 가을나들이, 영도골든벨, 도전영도골든벨, 퀴즈, 골든벨퀴즈",1993년도
17,부산,영도구,영도 커피페스티벌,문화예술,11.3.~11.5.,아미르공원,대면,"1st글로벌영도커피페스티벌, 아미르공원, 국립해양박물관일원, 커피, 드립백, 글로벌영도커피페스티벌, 영도아미르공원, 국립해양박물관, 영도커피페스티벌, 영도국립해양박물관, 부산영도커피페스티벌, 국립해양박물관옆, 커피위로, 드립백거치대",2019년도
18,부산,부산진구,전포커피축제,기타,10월중,전포카페거리 일원,혼합형,"전포코오피, 전포카페, 2021전포커피축제, 전포카페거리, 전리단길, 전포사잇길, 부산맛집, 부산카페, 이벤트, 이벤트그램, 모집, 체험단, 체험단모집, 커피축제, 부산축제, 부산진구, 서면",2017년도
19,부산,부산진구,서면메디컬스트리트 축제,기타,10월중,"서면메디컬스트리트 일원, 온라인플랫폼",혼합형,"부산여행, 서면메디컬스트리트, 메디컬투어, 의료관광, 부산관광, 부산서면, 미용, 뷰티, 서면메디컬스트리트축제, 추천여행, 부산이색여행, 의료서비스, 웰니스관광",2011년도
20,부산,부산진구,희망 드림 빛 축제,주민화합,23년11월~'24년2월,부산시민공원 일원,대면,"부산광역시, 부산시민공원, 부산희망드림, 빛축제, 부산진구청, 부산국립국악원, 연말, 축제, 힐링, 부산세계엑스포, 개최기원, 소원, 소망",2020년도
21,부산,동래구,동래 3.1만세운동기념행사,문화예술,3.29.,동래고등학교 등,대면,"동래, 부산광역시, 만세운동, 독립, 삼일운동, 3.1운동, 독립운동, 일제 강점기",2016년도
22,부산,동래구,동래읍성역사축제,전통역사,10.13.~10.15.,"동래읍성(북문), 동래문화회관 등",대면,"부산여행, 부산축제, 가을축제, 동래읍성, 역사축제, 동래읍성역사축제, 전통문화체험, 이색체험, 거리공연, 퍼레이드, 가볼만한축제",1995년도
23,부산,남구,UN평화축제,주민화합,10월중(2일간),평화공원,대면,"부산여행, 부산명소, 유엔기념공원, 유엔조각공원, 유엔평화기념관, 턴투워드부산, 한국전쟁, 기념관, 걷기여행, 나홀로여행, 아이와함께, 가볼만한축제",1997년도
24,부산,북구,구포장터 3.1만세운동기념행사,문화예술,3.29.,구포역 광장 등,대면,"구포장터, 3.1만세운동기념",1995년도
25,부산,북구,낙동강 구포나루 축제,기타,10.13.~10.15.,화명생태공원,대면,"부산축제, 가볼만한축제, 낙동강구포나루축제, 연인과함께, 친구와함께, 가족과함께, 아이와함께, 이색체험",2011년도
26,부산,해운대구,해운대모래축제,생태자연,5.19.~5.22.,해운대해수욕장 일원 ,대면,"부산축제, 봄축제, 가볼만한축제, 해운대모래축제, 해운대해수욕장, 모래조각, 바다풍경, 이색체험",2005년도
